StdInChIKey,SMILES,LogS,T,Source
HCTVORVYPUEFSX-UHFFFAOYSA-N,CN(C)C1=CC2=C(NC3=C(C(=C(N(C)N(=O)=O)C(=C3)N(=O)=O)N(=O)=O)S2(=O)=O)C=C1,-2.641848751,20,Reaxys
HDMPHMIWIIZWCE-UHFFFAOYSA-N,NC1=C(NC2=CC=C(Cl)C=C2)C=CC(Cl)=C1,0.116482659,20,Reaxys
HEBKCHPVOIAQTA-SCDXWVJYSA-N,[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)CO,-2.489457297,24.99,Reaxys
HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,-2.052242072,24.71,Reaxys
HEWGVSGLMQJYHJ-UHFFFAOYSA-N,FC1=CC(=CC(F)=C1Br)N1C(=O)C=CC1=O,-2.869306476,25.19,Reaxys
HJHSNTOTXYILIV-UHFFFAOYSA-N,S1C(SC(SC1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,-1.627896947,25,Reaxys
HKEAFJYKMMKDOR-VPRICQMDSA-N,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C(O)C=CC2=C1OC=C(C2=O)C1=CC=C(O)C=C1,-1.552847631,25.05,Reaxys
HLXRWTJXGMHOFN-XJSNKYLASA-N,[H][C@@]12[C@@H](C)CC(=O)[C@]1([H])C(=CO[C@H]2O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)OC,-1.735336862,18,Reaxys
HMWPNDNFTFSCEB-UHFFFAOYSA-N,C1OOCN2COOCN1COOC2,-1.905036632,NA,Reaxys
HQLOEBRPCVIFCT-UHFFFAOYSA-N,OC(=O)C1=C(Br)C=CC=C1Br,0.643456062,20,Reaxys
HSXJIIOATUZQAZ-UHFFFAOYSA-N,O=C(OCC(COC(=O)C1=CC=C(C=C1)N(=O)=O)OC(=O)C1=CC=C(C=C1)N(=O)=O)C1=CC=CC=C1,-0.81694987,21,Reaxys
